id,followers,username,time,last_child_time,Hop,Non_follower
3188947977,452,IanBarnes42,65595,65595,1,0
1.48694E+18,19,DwayneCamacho88,65667,65667,1,1
1.26992E+18,27,Samukel03248179,65667,65667,1,1
1.5461E+18,79,Uzanethegoat,65667,65667,1,1
25786129,2084,trvpg0ddess,65667,667808,2,0
550423011,912,PreshThatGaia,65667,65667,1,0
1.55619E+18,32,mavundl15,65667,65667,3,0
1.12315E+18,96,yafr_21_,65667,65667,1,1
1.31632E+18,4742,Yslauren__,65667,126744,2,0
8.52313E+17,252,courtjuggs,65667,65667,1,0
1.02102E+18,28,dribeat,65667,65667,2,0
1.1181E+18,855,Finebobo6,65667,667808,2,0
1.01021E+18,301,manlikegrey,65739,65739,3,0
1459797882,146,_bradn,65739,65739,3,0
1.46712E+18,242,HasaniJnr24,65739,65739,1,1
1.25908E+18,48,liirratokhoza,65739,65739,1,1
30065221,255,mrs_lamarre,65739,78598,2,0
1099780759,1036,colehedgecoth,65739,65739,3,0
264431383,303,dc_la_soul,65739,65739,1,0
1317326845,43,Tiny_T99,65811,65811,1,0
2869378747,80,thezenshi,65811,65811,2,0
362651195,508,sjohnmadu,65811,65811,2,0
449362593,88,JordanVerrone,65811,65811,1,1
1.43808E+18,2,ahmedchater43,65883,65883,1,0
1.36371E+18,193,kylearuiz,65883,101276,1,1
3310286607,3009,__nombulelo,65883,667808,2,0
1.05145E+18,13,deer4e,65883,65883,4,0
9.77654E+17,2870,Masixole_M1,65883,667808,2,0
1.50844E+18,37,xthQuajoe,65883,65883,2,0
1.53628E+18,1500,thatdudemahmoud,65883,667808,2,0
1.54671E+18,13,cvpidmelle,65883,65883,2,0
1932169243,17,BlueOceans22,65883,65883,1,0
1.00704E+18,398,zayy__ad,65883,65883,2,0
777005072,771,AlieSweetHeart_,65883,65883,1,0
2191724961,51,_mliz14,65883,65883,1,0
1.11935E+18,366,FlavouredSoul,65883,124640,3,0
469076150,419,mattwillmadeit8,65956,65956,1,0
1.57705E+18,3,chrisjmz_,65956,65956,1,1
1.21363E+18,48,LooxooM,65956,65956,1,0
220678711,158,Starz_4u,65956,65956,2,0
1.3899E+18,3,yourpapiisfav,65956,65956,2,0
4559799676,17,Amor_Cee,65956,65956,1,1
1.46647E+18,29,jerkducksauce,66028,66028,2,0
2272339782,61,catfaith1,66028,66028,1,0
1104787496,287,brownc0caine_,66028,66028,1,0
2218111476,663,WalkerMariow45,66028,667808,2,0
1.47923E+18,3,serialsleeper16,66028,66028,1,1
2813799024,982,ungodIydreams,66028,66028,3,0
1.48641E+18,30,Wkkeyz,66028,66028,2,0
823176163,418,hannaburr0ws,66028,66028,1,0
1015169066,448,GC_Mendu,66028,125524,1,1
1720742581,42,AbsdaG30,66028,66028,2,0
4246050501,1203,SAIXLUV,66028,66028,1,0
1.47376E+18,56,KhumbuzileJiya,66100,66100,1,1
9.09476E+17,191,_resego_,66100,66100,3,0
1.03512E+18,48,carowamumbi,66100,66100,1,1
1330415852,178,aliyahdavis_,66100,66100,1,0
1089567008,288,obe_olufemi,66100,667808,3,0
352509063,949,J_price23,66172,66172,2,0
2516520774,124,Fox4Eman,66172,66172,2,0
1.34836E+18,49,adonishelby,66172,66172,2,0
1564480778,278,erick_mills,66244,66244,1,0
2387739584,197,SowiKhl,66244,66244,1,1
1.5894E+18,3,RobertL929,66244,66244,3,0
1.52226E+18,35,theeboy1017,66244,66244,1,1
593936479,2891,TheMeek_King,66244,667808,2,0
4794043957,509,llegodiego,66244,66244,2,0
