id,time,type,prev_id,Engagement_index,Hop,Non_follower
1.36385E+18,38939,like,1.36385E+18,0,2,0
2746739951,38939,like,2746739951,0,2,0
3352616519,38939,like,3352616519,0,2,0
846363741323218944_1,38939,like,8.46364E+17,1,1,0
2681708999_1,38939,like,2681708999,1,1,0
1.15231E+18,38939,like,1.15231E+18,0,2,0
1.26272E+18,38939,like,1.26272E+18,0,1,1
261437404,38939,like,261437404,0,1,0
415895053,38939,like,415895053,0,1,0
1.23844E+18,38939,like,1.23844E+18,0,2,0
1508371854184099845_1,38939,like,1.50837E+18,1,1,0
1.35308E+18,38939,like,1.35308E+18,0,1,1
1374636450038349826_1,38939,like,1.37464E+18,1,1,0
1.54583E+18,38939,like,1.54583E+18,0,1,0
1165050707919159297_1,38939,like,1.16505E+18,1,1,0
454618705,38939,like,454618705,0,1,0
9.83559E+17,38939,like,9.83559E+17,0,1,1
2859953794,38939,like,2859953794,0,1,0
621642369_1,38939,like,621642369,1,1,0
774763092,38939,like,774763092,0,2,0
3098628181,38939,like,3098628181,0,1,0
1.15237E+18,38939,like,1.15237E+18,0,1,0
988710001_1,38939,like,988710001,1,2,0
287944544,38939,like,287944544,0,1,0
1.02667E+18,38939,like,1.02667E+18,0,1,0
